instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Cury,Renan,Caiado,Zema,Samara,Avalanche,Grassi,Clariana,Dias,Costa,Pimenta,Outros,Indefinidos,Marçal,Aécio,Daciolo,Barbosa,Rebelo,Haddad,Tarcísio,Ratinho,Leite,Gomes,Bolsonaro,Michelle,Eduardo,Tereza,Alckmin,Temer,Tebet,Dino,Barbalho,Silva,Hoffmann,Camilo,Lima,Moro,Nogueira,Ciro
Datafolha,2026-09-24,2026-09-24,2002,2.0,40.0,36.0,5.0,3.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,41.0,37.0,6.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlasIntel,2026-09-17,2026-09-22,5015,1.0,45.8,43.4,2.1,4.5,1.3,0.9,0.4,,0.0,0.4,0.0,0.0,0.0,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Datafolha,2026-09-15,2026-09-16,2002,2.0,39.0,36.0,6.0,3.0,4.0,2.0,1.0,,0.0,0.0,0.0,0.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlasIntel,2026-09-11,2026-09-16,5018,1.0,44.1,41.7,3.5,5.1,1.7,1.1,0.7,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,2026-09-09,2026-09-13,2002,2.2,40.5,30.4,6.0,2.7,3.0,1.0,1.1,,1.1,1.1,1.1,1.1,1.1,1.8,13.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Datafolha,2026-09-08,2026-09-11,2002,2.0,39.0,35.0,6.0,3.0,4.0,2.0,1.0,,0.0,1.0,0.0,1.0,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlasIntel,2026-09-04,2026-09-09,5000,1.0,43.0,37.4,6.6,6.5,1.1,2.1,1.0,,0.0,0.3,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Datafolha,2026-09-01,2026-09-02,2002,2.0,38.0,33.0,8.0,3.0,4.0,2.0,1.0,,0.0,0.0,2.0,1.0,1.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Real Time Big Data,2026-08-27,2026-08-31,2000,2.0,38.0,29.0,10.0,6.0,4.0,2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
AtlasIntel,2026-08-25,2026-08-30,5014,2.0,43.4,33.7,7.8,7.6,3.3,1.0,0.9,,0.1,,,,0.1,,0.3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,
Datafolha,2026-08-18,2026-08-20,2058,2.0,39.0,33.0,2.0,4.0,5.0,3.0,1.0,,1.0,0.0,0.0,1.0,1.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
MDA,2026-08-05,2026-08-09,2002,2.2,42.4,28.7,1.2,2.8,4.0,3.3,1.6,,,,,,0.9,0.9,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,
