instituto,data_inicio,data_fim,amostra,margem,Haddad,Gomes,Silva,Meirelles,Dias,Alckmin,Amoêdo,Bolsonaro,"Haddad, apoiado por Lula",Lula,Barbosa,Temer,Doria,Neves
Globo e O Estado de S. Paulo/IBOPE,2018-10-05,2018-10-06,3010,2.0,22.0,11.0,3.0,2.0,1.0,7.0,2.0,36.0,,,,,,
Globo e Folha/Datafolha,2018-10-05,2018-10-06,19552,2.0,22.0,13.0,3.0,2.0,2.0,7.0,3.0,36.0,,,,,,
CNT/MDA,2018-10-04,2018-10-05,2002,2.2,24.0,9.9,2.2,1.6,1.7,5.8,2.3,36.7,,,,,,
Veritá,2018-10-02,2018-10-05,5208,2.0,18.8,8.4,1.4,0.8,1.0,4.2,2.9,41.5,,,,,,
XP/Ipespe,2018-10-03,2018-10-04,2000,2.2,22.0,11.0,4.0,2.0,2.0,7.0,3.0,36.0,,,,,,
RecordTV/RealTime Big Data,2018-10-03,2018-10-04,10000,2.0,24.0,12.0,4.0,1.0,1.0,6.0,2.0,34.0,,,,,,
DataPoder360,2018-10-03,2018-10-04,4000,2.0,25.0,15.0,2.0,3.0,4.0,7.0,2.0,30.0,,,,,,
Globo e Folha/Datafolha,2018-10-03,2018-10-04,10930,2.0,22.0,11.0,4.0,2.0,2.0,8.0,3.0,35.0,,,,,,
Empiricus/Paraná Pesquisas,2018-10-02,2018-10-04,2080,2.0,21.8,9.4,3.5,1.7,1.4,7.4,3.1,34.9,,,,,,
Movimento Parlamentarista Brasileiro/Amostra,2018-09-28,2018-10-03,2500,2.0,22.0,10.0,6.0,2.0,1.0,6.0,2.0,30.0,,,,,,
Folha/Datafolha,2018-10-02,2018-10-02,3240,2.0,21.0,11.0,4.0,2.0,2.0,9.0,3.0,32.0,,,,,,
Globo e O Estado de S. Paulo/IBOPE,2018-10-01,2018-10-02,3010,2.0,23.0,10.0,4.0,2.0,1.0,7.0,2.0,32.0,,,,,,
BTG Pactual/FSB Pesquisa,2018-09-29,2018-09-30,2000,2.0,24.0,9.0,4.0,2.0,2.0,11.0,5.0,31.0,,,,,,
Globo e O Estado de S. Paulo/IBOPE,2018-09-29,2018-09-30,3010,2.0,21.0,11.0,4.0,2.0,2.0,8.0,3.0,31.0,,,,,,
RecordTV/RealTime Big Data,2018-09-28,2018-09-29,3200,2.0,24.0,11.0,5.0,3.0,2.0,7.0,3.0,29.0,,,,,,
CNT/MDA,2018-09-27,2018-09-28,2000,2.2,25.2,9.4,2.6,2.0,1.7,7.3,2.0,28.2,,,,,,
Globo e Folha/Datafolha,2018-09-26,2018-09-28,9000,2.0,22.0,11.0,5.0,2.0,2.0,10.0,3.0,28.0,,,,,,
Genial Investimentos/Brasilis,2018-09-25,2018-09-26,1000,3.5,22.0,8.0,5.0,2.0,3.0,10.0,3.0,27.0,,,,,,
XP/Ipespe,2018-09-24,2018-09-26,2000,2.2,21.0,11.0,5.0,2.0,2.0,8.0,3.0,28.0,,,,,,
Empiricus/Paraná Pesquisas,2018-09-23,2018-09-25,2020,2.0,20.2,10.1,4.3,1.3,1.9,7.6,3.8,31.2,,,,,,
CNI/IBOPE,2018-09-22,2018-09-24,2000,2.0,21.0,12.0,6.0,2.0,2.0,8.0,3.0,27.0,,,,,,
IstoÉ/Sensus,2018-09-21,2018-09-24,2000,2.2,24.5,7.7,2.7,1.6,1.7,5.6,1.9,30.6,,,,,,
Globo e O Estado de S. Paulo/IBOPE,2018-09-22,2018-09-23,2506,2.0,22.0,11.0,5.0,2.0,2.0,8.0,3.0,28.0,,,,,,
BTG Pactual/FSB Pesquisa,2018-09-22,2018-09-23,2000,2.0,23.0,10.0,5.0,3.0,2.0,8.0,3.0,33.0,,,,,,
DataPoder360,2018-09-19,2018-09-20,4000,2.0,22.0,14.0,4.0,3.0,3.0,6.0,1.0,26.0,,,,,,
Globo e Folha/Datafolha,2018-09-18,2018-09-19,8601,2.0,16.0,13.0,7.0,2.0,3.0,9.0,3.0,28.0,,,,,,
Genial Investimentos/Brasilis,2018-09-17,2018-09-19,1000,3.5,17.0,7.0,6.0,3.0,4.0,7.0,5.0,30.0,,,,,,
XP/Ipespe,2018-09-17,2018-09-19,2000,2.0,16.0,11.0,6.0,2.0,3.0,7.0,3.0,28.0,,,,,,
Globo e O Estado de S. Paulo/IBOPE,2018-09-16,2018-09-18,2506,2.0,19.0,11.0,6.0,2.0,3.0,7.0,2.0,28.0,,,,,,
BTG Pactual/FSB Pesquisa,2018-09-15,2018-09-16,2000,2.0,16.0,14.0,5.0,2.0,2.0,6.0,4.0,33.0,,,,,,
CNT/MDA,2018-09-12,2018-09-15,2002,2.2,17.6,10.8,4.1,1.7,1.9,6.1,2.8,28.2,,,,,,
Globo e Folha/Datafolha,2018-09-13,2018-09-14,2820,2.0,13.0,13.0,8.0,3.0,3.0,9.0,3.0,26.0,,,,,,
XP/Ipespe,2018-09-10,2018-09-12,2000,2.0,10.0,12.0,8.0,2.0,4.0,9.0,4.0,26.0,,,,,,
CUT/Vox Populi,2018-09-07,2018-09-11,2000,2.0,,10.0,5.0,2.0,1.0,4.0,1.0,18.0,22.0,,,,,
Empiricus/Paraná Pesquisas,2018-09-07,2018-09-11,2010,2.0,8.3,11.9,10.6,2.4,3.7,8.7,3.3,26.6,,,,,,
Globo e Folha/Datafolha,2018-09-10,2018-09-10,2804,2.0,9.0,13.0,11.0,3.0,3.0,10.0,3.0,24.0,,,,,,
