instituto,data_inicio,data_fim,amostra,margem,Haddad,Bolsonaro,Indefinidos
CNT/MDA,2018-10-26,2018-10-27,2002,2.2,37.0,48.5,14.5
Globo e Folha/Datafolha,2018-10-26,2018-10-27,18371,2.0,39.0,47.0,13.0
Globo e O Estado de S. Paulo/IBOPE,2018-10-26,2018-10-27,3010,2.0,41.0,47.0,12.0
RecordTV/RealTime Big Data,2018-10-26,2018-10-26,5000,2.0,39.0,47.0,14.0
Globo e Folha/Datafolha,2018-10-24,2018-10-25,9173,2.0,38.0,48.0,14.0
Empiricus/Paraná Pesquisas,2018-10-23,2018-10-25,2120,2.0,34.4,53.0,12.5
RecordTV/RealTime Big Data,2018-10-24,2018-10-24,5000,2.0,38.0,49.0,13.0
XP/Ipespe,2018-10-23,2018-10-24,2000,2.2,37.0,51.0,12.0
CUT/Vox Populi,2018-10-22,2018-10-23,2000,2.2,39.0,44.0,17.0
Globo e O Estado de S. Paulo/IBOPE,2018-10-21,2018-10-23,3010,2.0,37.0,50.0,13.0
CNT/MDA,2018-10-20,2018-10-21,2002,2.2,36.7,48.8,14.5
BTG Pactual/FSB Pesquisa,2018-10-20,2018-10-21,2000,2.0,35.0,52.0,13.0
RecordTV/RealTime Big Data,2018-10-19,2018-10-20,5000,2.0,37.0,52.0,11.0
DataPoder360,2018-10-17,2018-10-18,4000,2.0,31.0,57.0,12.0
Globo e Folha/Datafolha,2018-10-17,2018-10-18,9137,2.0,35.0,50.0,15.0
RecordTV/RealTime Big Data,2018-10-16,2018-10-17,5000,2.0,35.0,52.0,13.0
CUT/Vox Populi,2018-10-16,2018-10-17,2000,2.2,39.0,44.0,17.0
XP/Ipespe,2018-10-15,2018-10-17,2000,2.2,37.0,51.0,13.0
Empiricus/Paraná Pesquisas,2018-10-14,2018-10-17,2080,2.0,33.9,52.9,13.2
BTG Pactual/FSB Pesquisa,2018-10-13,2018-10-14,2000,2.0,35.0,51.0,14.0
Globo e O Estado de S. Paulo/IBOPE,2018-10-13,2018-10-14,2506,2.0,37.0,52.0,11.0
RecordTV/RealTime Big Data,2018-10-12,2018-10-13,5000,2.0,33.0,48.0,19.0
Globo e Folha/Datafolha,2018-10-10,2018-10-10,3235,2.0,36.0,49.0,14.0
Ideia Big Data/Veja,2018-10-08,2018-10-10,2036,2.67,41.0,48.0,11.0
XP/Ipespe,2018-10-08,2018-10-09,2000,2.2,36.0,51.0,14.0
