instituto,data_inicio,data_fim,amostra,margem,Bolsonaro,Lula,Gomes,Tebet,Thronicke,D'Avila,Eymael,Manzano,Péricles,Salgado,Kelmon,Indefinidos,Marçal,Outros
Datafolha,2022-09-30,2022-10-01,12800,2.0,34.0,48.0,5.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,
Globo/IPEC,2022-09-25,2022-10-01,3008,2.0,34.0,47.0,5.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,,
Abrapel/Ipespe,2022-09-30,2022-09-30,1100,3.0,33.0,46.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,,
AtlasIntel,2022-09-28,2022-09-30,4500,1.0,40.7,49.8,3.9,2.6,0.7,0.8,0.0,0.0,0.0,0.0,0.3,1.0,,
MDA,2022-09-28,2022-09-30,2002,2.2,36.3,44.2,4.5,4.3,1.2,0.4,0.0,0.2,0.0,0.1,0.3,8.5,,
Paraná Pesquisas,2022-09-27,2022-09-29,2020,2.2,37.3,43.9,4.9,5.8,0.5,0.4,0.1,0.0,0.0,0.1,0.1,11.9,,
Datafolha,2022-09-27,2022-09-29,6800,2.0,34.0,48.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,,
Instituto Veritá,2022-09-24,2022-09-29,51169,2.0,44.6,41.6,4.1,4.2,0.9,1.4,0.3,0.0,0.1,0.0,0.4,2.4,,
Brasmarket,2022-09-26,2022-09-28,1600,2.45,45.4,30.9,6.2,5.2,0.8,0.3,0.0,0.0,0.1,0.0,0.3,10.9,,
Futura,2022-09-26,2022-09-28,2000,2.2,37.8,40.7,5.6,7.2,0.9,0.4,0.0,0.1,0.3,0.3,0.1,6.7,,
AtlasIntel,2022-09-24,2022-09-28,4500,1.0,39.9,49.3,3.5,2.5,0.8,0.7,0.1,0.0,0.0,0.2,0.1,2.7,,
Exame/Ideia,2022-09-23,2022-09-28,1500,3.0,37.0,47.0,6.0,5.0,0.2,0.4,0.1,0.1,0.1,0.2,0.1,4.0,,
PoderData,2022-09-25,2022-09-27,4500,1.5,36.0,45.0,6.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,
Genial/Quaest,2022-09-24,2022-09-27,2000,2.0,33.0,46.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,
Globo/IPEC,2022-09-25,2022-09-26,3008,2.0,31.0,48.0,6.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,,
Paraná Pesquisas,2022-09-22,2022-09-26,2020,2.2,36.4,42.7,5.6,5.0,0.8,0.1,0.0,0.0,0.1,0.1,0.1,9.2,,
AtlasIntel,2022-09-22,2022-09-26,4500,1.0,41.0,48.3,3.5,2.1,1.0,1.3,0.1,0.0,0.0,0.2,0.1,2.3,,
BTG Pactual/FSB,2022-09-23,2022-09-25,2000,2.0,35.0,45.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,,
Instituto Veritá,2022-09-19,2022-09-23,11000,2.0,43.2,42.1,4.7,4.0,1.1,1.0,0.3,0.1,0.1,0.1,0.1,3.3,,
Equilíbrio Brasil,2022-09-20,2022-09-22,11500,3.0,44.0,39.0,5.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,,
Datafolha,2022-09-20,2022-09-22,6754,2.0,33.0,47.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,
Futura,2022-09-19,2022-09-21,2000,2.2,39.2,39.1,6.6,6.1,0.8,0.3,0.2,0.2,,0.4,0.1,7.1,,
Abrapel/Ipespe,2022-09-19,2022-09-21,2000,2.2,35.0,46.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,
Brasmarket,2022-09-18,2022-09-20,2400,2.0,44.9,31.0,6.5,4.5,0.7,0.4,0.0,0.0,0.0,0.0,0.0,11.9,,
PoderData,2022-09-18,2022-09-20,3500,2.0,37.0,44.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,
Genial/Quaest,2022-09-17,2022-09-20,2000,2.0,34.0,44.0,6.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,
AtlasIntel,2022-09-16,2022-09-20,7514,1.0,38.6,48.4,6.3,4.0,0.4,0.7,0.2,0.1,0.2,0.1,0.1,1.0,,
Paraná Pesquisas,2022-09-15,2022-09-19,2020,2.2,36.4,40.1,7.2,4.6,0.7,0.2,0.0,0.2,0.1,0.2,0.1,10.3,,
Globo/IPEC,2022-09-17,2022-09-18,3008,2.0,31.0,47.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,,
BTG Pactual/FSB,2022-09-16,2022-09-18,2000,2.0,35.0,44.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,
Abrapel/Ipespe,2022-09-14,2022-09-16,1100,3.0,35.0,45.0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,,
Datafolha,2022-09-13,2022-09-15,5926,2.0,33.0,45.0,8.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,
MDA,2022-09-12,2022-09-14,2002,2.2,34.8,43.4,5.6,4.5,0.7,0.3,0.0,0.1,0.0,0.2,0.1,10.9,,
Futura,2022-09-12,2022-09-14,2000,2.2,41.9,36.9,7.0,6.4,0.5,0.4,0.0,0.1,0.0,0.2,,6.5,0.5,
Brasmarket,2022-09-10,2022-09-14,2400,2.0,43.5,30.5,7.6,4.6,0.8,0.3,0.0,0.2,0.0,0.0,0.2,12.1,,
PoderData,2022-09-11,2022-09-13,3500,2.0,37.0,43.0,8.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
Genial/Quaest,2022-09-10,2022-09-13,2000,2.0,34.0,42.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,
Paraná Pesquisas,2022-09-08,2022-09-12,2020,2.0,36.5,39.6,7.4,4.7,0.4,0.5,0.0,0.1,0.1,0.1,,10.0,0.4,
BTG Pactual/FSB,2022-09-09,2022-09-11,2000,2.0,35.0,41.0,9.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,,
Globo/IPEC,2022-09-09,2022-09-11,2512,2.0,31.0,46.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,,
Datafolha,2022-09-08,2022-09-09,2276,2.0,34.0,45.0,7.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,
Abrapel/Ipespe,2022-09-07,2022-09-09,1100,3.0,36.0,44.0,8.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,
