instituto,data_inicio,data_fim,amostra,margem,Bolsonaro,Lula,Indefinidos,Gomes
Instituto Veritá,2022-10-28,2022-10-29,17552,,47.8,45.9,6.3,
Genial/Quaest,2022-10-28,2022-10-29,2000,,43.0,46.0,14.0,
Datafolha,2022-10-28,2022-10-29,8308,,45.0,49.0,6.0,
Globo/Ipec,2022-10-27,2022-10-29,4272,,43.0,50.0,7.0,
AtlasIntel,2022-10-26,2022-10-29,7500,,45.7,52.4,1.9,
IFP,2022-10-24,2022-10-29,2000,,45.3,45.6,9.1,
CNT/MDA,2022-10-26,2022-10-28,2002,,44.9,46.9,8.2,
Paraná Pesquisas,2022-10-26,2022-10-28,2020,,46.3,47.1,6.6,
Ipespe,2022-10-25,2022-10-28,1000,,32.0,50.0,17.0,
Instituto Veritá,2022-10-25,2022-10-27,30180,,49.0,46.1,4.9,
Datafolha,2022-10-25,2022-10-27,4592,,44.0,49.0,7.0,
Brasmarket,2022-10-23,2022-10-27,2400,,48.2,42.7,9.1,
PoderData,2022-10-25,2022-10-27,2500,,37.0,52.0,11.0,
Modalmais/Futura,2022-10-24,2022-10-26,2000,,47.2,46.6,6.1,
Gerp,2022-10-21,2022-10-26,2095,,47.0,43.0,10.0,
Brasmarket,2022-10-21,2022-10-25,2400,,48.0,41.9,7.4,
AtlasIntel,2022-10-21,2022-10-25,7500,,46.0,52.4,1.6,
PoderData,2022-10-23,2022-10-25,5000,,44.0,49.0,7.0,
Genial/Quaest,2022-10-23,2022-10-25,2000,,42.0,48.0,10.0,
Abrapel/Ipespe,2022-10-22,2022-10-24,1100,,44.0,50.0,6.0,
Globo/Ipec,2022-10-22,2022-10-24,3008,,43.0,50.0,7.0,
Paraná Pesquisas,2022-10-20,2022-10-24,2020,,45.9,46.3,7.8,
Brasmarket,2022-10-19,2022-10-23,2400,,47.7,41.8,10.6,
AtlasIntel,2022-10-18,2022-10-22,4500,,46.2,52.0,1.8,
Modalmais/Futura,2022-10-19,2022-10-22,2000,,37.4,49.2,13.5,
IFP,2022-10-17,2022-10-21,1500,,46.5,43.6,9.9,
Instituto Veritá,2022-10-17,2022-10-20,20220,,49.4,46.7,3.9,
Modalmais/Futura,2022-10-17,2022-10-19,2000,,46.9,45.9,7.1,
Brasmarket,2022-10-15,2022-10-19,2400,,45.5,40.8,13.7,
Paraná Pesquisas,2022-10-15,2022-10-19,2020,,44.5,46.9,8.6,
Ideia,2022-10-14,2022-10-19,1500,,46.0,50.0,4.0,
Datafolha,2022-10-17,2022-10-18,2912,,45.0,49.0,5.0,
Abrapel/Ipespe,2022-10-17,2022-10-18,1100,,43.0,49.0,8.0,
Genial/Quaest,2022-10-16,2022-10-18,2000,,42.0,47.0,11.0,
PoderData,2022-10-16,2022-10-18,5000,,44.0,48.0,8.0,
Globo/Ipec,2022-10-15,2022-10-17,3008,,43.0,50.0,7.0,
CNT/MDA,2022-10-14,2022-10-16,2002,,41.8,48.1,10.1,
Instituto Veritá,2022-10-11,2022-10-15,5528,,48.7,46.4,4.9,
Datafolha,2022-10-13,2022-10-14,2898,,44.0,49.0,6.0,
Veja/FSB,2022-10-11,2022-10-14,2000,,46.0,38.0,17.0,
Modalmais/Futura,2022-10-10,2022-10-12,2000,,46.5,46.9,6.6,
XP/Ipespe,2022-10-10,2022-10-12,2000,,43.0,49.0,8.0,
Genial/Quaest,2022-10-10,2022-10-12,2000,,41.0,49.0,10.0,
Progressistas/Paraná Pesquisas,2022-10-08,2022-10-12,2020,,44.1,47.6,8.4,
Atlas,2022-10-08,2022-10-12,4500,,46.5,51.1,2.4,
PoderData,2022-10-09,2022-10-11,5000,,44.0,48.0,8.0,
Gerp,2022-10-06,2022-10-11,2095,,46.0,48.0,6.0,
XP/Ipespe,2022-10-08,2022-10-11,1000,,43.0,,22.0,35.0
Abrapel/Ipespe,2022-10-08,2022-10-10,1100,,43.0,50.0,6.0,
Globo/Ipec,2022-10-07,2022-10-10,2000,,42.0,51.0,7.0,
Exame/IDEIA,2022-10-05,2022-10-08,1200,,43.0,33.0,25.0,
Datafolha,2022-10-05,2022-10-07,2884,,44.0,49.0,8.0,
Genial/Quaest,2022-10-03,2022-10-05,2000,,41.0,48.0,11.0,
PoderData,2022-10-03,2022-10-05,3500,,44.0,48.0,8.0,
Globo/Ipec,2022-10-03,2022-10-05,2000,,43.0,51.0,6.0,
Modalmais/Futura,2022-10-03,2022-10-04,2000,,46.0,49.3,4.7,
