cenario,instituto,data_inicio,data_fim,amostra,margem,Lula,Flávio,Indefinidos,Cury,Renan,Caiado,Zema,Bolsonaro,Michelle,Tarcísio,Eduardo,Ratinho,Gomes,Leite,Marçal,Lima,Tereza C.,Barbosa,Neves,Rebelo,Marinho,Nogueira,Alckmin,Haddad
Lula e Flávio Bolsonaro,Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,44.0,45.0,11.0,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,44.0,,13.0,43.0,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,44.0,,18.0,,38.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,44.0,,12.0,,,44.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Real Time Big Data,2026-09-19,2026-09-23,2000,2.0,45.0,,16.0,,,,39.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-09-19,2026-09-23,2000,2.2,43.7,49.4,11.2,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,Futura,2026-09-19,2026-09-23,2000,2.2,41.0,,12.7,46.3,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Futura,2026-09-19,2026-09-23,2000,2.2,43.8,,14.5,,41.7,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Futura,2026-09-19,2026-09-23,2000,2.2,42.4,,11.0,,,46.5,,,,,,,,,,,,,,,,,,
Lula e Zema,Futura,2026-09-19,2026-09-23,2000,2.2,43.0,,12.9,,,,43.8,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-09-17,2026-09-22,5015,1.0,47.7,47.4,4.9,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,AtlasIntel,2026-09-17,2026-09-22,5015,1.0,46.2,,14.4,39.4,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-09-17,2026-09-22,5015,1.0,46.5,,22.3,,31.2,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-09-17,2026-09-22,5015,1.0,46.6,,9.4,,,44.0,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-09-17,2026-09-22,5015,1.0,47.6,,10.2,,,,42.2,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Datafolha,2026-09-15,2026-09-16,2002,2.0,46.0,44.0,9.0,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,Datafolha,2026-09-15,2026-09-16,2002,2.0,44.0,,11.0,44.0,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,Datafolha,2026-09-15,2026-09-16,2002,2.0,47.0,,15.0,,38.0,,,,,,,,,,,,,,,,,,,
Lula e Caiado,Datafolha,2026-09-15,2026-09-16,2002,2.0,46.0,,12.0,,,42.0,,,,,,,,,,,,,,,,,,
Lula e Zema,Datafolha,2026-09-15,2026-09-16,2002,2.0,49.0,,13.0,,,,39.0,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,AtlasIntel,2026-09-11,2026-09-16,5018,1.0,46.8,47.2,6.0,,,,,,,,,,,,,,,,,,,,,
Lula e Augusto Cury,AtlasIntel,2026-09-11,2026-09-16,5018,1.0,45.6,,16.6,37.8,,,,,,,,,,,,,,,,,,,,
Lula e Renan Santos,AtlasIntel,2026-09-11,2026-09-16,5018,1.0,46.1,,24.2,,29.7,,,,,,,,,,,,,,,,,,,
Lula e Caiado,AtlasIntel,2026-09-11,2026-09-16,5018,1.0,46.0,,12.3,,,41.7,,,,,,,,,,,,,,,,,,
Lula e Zema,AtlasIntel,2026-09-11,2026-09-16,5018,1.0,46.3,,10.1,,,,43.7,,,,,,,,,,,,,,,,,
Lula e Flávio Bolsonaro,Futura,2026-09-11,2026-09-15,2000,2.2,43.7,48.1,8.2,,,,,,,,,,,,,,,,,,,,,
