uf,estado,regiao,eleitorado,votos_lula,votos_bolsonaro,lula,bolsonaro
PI,Piauí,Nordeste,2570253,1551383,467065,76.86,23.14
BA,Bahia,Nordeste,11282999,6097815,2357028,72.12,27.88
MA,Maranhão,Nordeste,5039307,2668425,1082749,71.14,28.86
CE,Ceará,Nordeste,6818192,3807891,1634477,69.97,30.03
SE,Sergipe,Nordeste,1671241,862951,421086,67.21,32.79
PE,Pernambuco,Nordeste,7015086,3640933,1798832,66.93,33.07
PB,Paraíba,Nordeste,3091719,1601953,802502,66.62,33.38
RN,Rio Grande do Norte,Nordeste,2554326,1326785,711381,65.1,34.9
AL,Alagoas,Nordeste,2325814,976831,687827,58.68,41.32
PA,Pará,Norte,6078857,2509084,2073895,54.75,45.25
TO,Tocantins,Norte,1094302,434593,411654,51.36,48.64
AM,Amazonas,Norte,2647039,1004991,961741,51.1,48.9
MG,Minas Gerais,Sudeste,16284615,6190960,6141310,50.2,49.8
AP,Amapá,Norte,550131,189918,200547,48.64,51.36
SP,São Paulo,Sudeste,34684876,11519882,14216587,44.76,55.24
RS,Rio Grande do Sul,Sul,8589684,2891851,3733185,43.65,56.35
RJ,Rio de Janeiro,Sudeste,12827044,4156217,5403894,43.47,56.53
ES,Espírito Santo,Sudeste,2922264,926767,1282145,41.96,58.04
GO,Goiás,Centro-Oeste,4870621,1542115,2193041,41.29,58.71
DF,Distrito Federal,Centro-Oeste,2207628,729295,1041331,41.19,58.81
MS,Mato Grosso do Sul,Centro-Oeste,1996066,599547,880606,40.51,59.49
PR,Paraná,Sul,8480626,2506605,4159343,37.6,62.4
MT,Mato Grosso,Centro-Oeste,2469797,652786,1216730,34.92,65.08
SC,Santa Catarina,Sul,5501284,1351918,3047630,30.73,69.27
AC,Acre,Norte,587765,121566,287750,29.7,70.3
RO,Rondônia,Norte,1230172,262904,633236,29.34,70.66
RR,Roraima,Norte,366641,67128,213518,23.92,76.08
